P384cM3_X	0.0	0.001	0.002	0.003	0.004	0.005	0.006	0.006999999999999999	0.008	0.009	0.01	0.011	0.012	0.013	0.013999999999999999	0.015	0.016	0.016999999999999998	0.018	0.019	0.02	0.020999999999999998	0.022	0.023	0.024	0.024999999999999998	0.026	0.027	0.027999999999999997	0.028999999999999998	0.03	0.031	0.032	0.033	0.033999999999999996	0.034999999999999996	0.036	0.037	0.038	0.039	0.04	0.040999999999999995	0.041999999999999996	0.043	0.044	0.045	0.046	0.047	0.048	0.048999999999999995	0.049999999999999996	0.051	0.052	0.053	0.054	0.055	0.055999999999999994	0.056999999999999995	0.057999999999999996	0.059	0.06	0.061	0.062	0.063	0.064	0.065	0.066	0.06699999999999999	0.06799999999999999	0.06899999999999999	0.06999999999999999	0.071	0.072	0.073	0.074	0.075	0.076	0.077	0.078	0.079	0.08	0.081	0.08199999999999999	0.08299999999999999	0.08399999999999999	0.08499999999999999	0.086	0.087	0.088	0.089	0.09	0.091	0.092	0.093	0.094	0.095	0.096	0.09699999999999999	0.09799999999999999	0.09899999999999999	0.09999999999999999	0.10099999999999999	0.102	0.103	0.104	0.105	0.106	0.107	0.108	0.109	0.11	0.111	0.11199999999999999	0.11299999999999999	0.11399999999999999	0.11499999999999999	0.11599999999999999	0.11699999999999999	0.118	0.119	0.12	0.121	0.122	0.123	0.124	0.125	0.126	0.127	0.128	0.129	0.13	0.131	0.132	0.133	0.13399999999999998	0.13499999999999998	0.13599999999999998	0.13699999999999998	0.13799999999999998	0.13899999999999998	0.13999999999999999	0.141	0.142	0.143	0.144	0.145	0.146	0.147	0.148	0.149	0.15	0.151	0.152	0.153	0.154	0.155	0.156	0.157	0.158	0.159	0.16	0.161	0.162	0.163	0.16399999999999998	0.16499999999999998	0.16599999999999998	0.16699999999999998	0.16799999999999998	0.16899999999999998	0.16999999999999998	0.17099999999999999	0.172	0.173	0.174	0.175	0.176	0.177	0.178	0.179	0.18	0.181	0.182	0.183	0.184	0.185	0.186	0.187	0.188	0.189	0.19	0.191	0.192	0.193	0.19399999999999998	0.19499999999999998	0.19599999999999998	0.19699999999999998	0.19799999999999998	0.19899999999999998	0.19999999999999998	0.20099999999999998	0.20199999999999999	0.20299999999999999	0.204	0.205	0.206	0.207	0.208	0.209	0.21	0.211	0.212	0.213	0.214	0.215	0.216
P384cM3_Y	0.0	0.0009419999999999999	0.001524	0.002003	0.002412	0.002783	0.003101	0.0034019999999999996	0.003675	0.0039239999999999995	0.004163	0.004376	0.004592	0.004782	0.004965	0.005148	0.00531	0.00547	0.005627	0.005771999999999999	0.005913	0.006049	0.00618	0.006304	0.006424	0.006545	0.006657	0.006768	0.006873	0.0069759999999999996	0.007078999999999999	0.007174	0.007267999999999999	0.007362	0.007447	0.007535	0.007623	0.0077069999999999994	0.0077859999999999995	0.007864	0.007942	0.008017	0.008091	0.008161	0.008232	0.008302	0.008367	0.008433999999999999	0.008498	0.00856	0.008623	0.008683999999999999	0.008744	0.008801	0.008858	0.008917999999999999	0.008969	0.009023	0.009075999999999999	0.00913	0.009179999999999999	0.009231999999999999	0.00928	0.009328	0.009375	0.009420999999999999	0.009469	0.009516	0.009559	0.009604	0.009647	0.009691	0.009732	0.009772	0.009814	0.009852	0.009892	0.009932	0.009970999999999999	0.010008	0.010045	0.010083	0.010117	0.010152999999999999	0.01019	0.010222	0.010258999999999999	0.010293	0.010324999999999999	0.010358	0.01039	0.010421999999999999	0.010454999999999999	0.010485999999999999	0.010516	0.010548	0.010577999999999999	0.010607	0.010636	0.010665	0.010693	0.010721	0.010749	0.010778	0.010805	0.010831	0.010858999999999999	0.010884	0.010910999999999999	0.010936999999999999	0.010961	0.010986	0.011009999999999999	0.011035999999999999	0.011059999999999999	0.011084	0.011108999999999999	0.011132	0.011155	0.011177999999999999	0.011202	0.011223	0.011245	0.011267	0.01129	0.011311	0.011330999999999999	0.011354999999999999	0.011375999999999999	0.011397	0.011415999999999999	0.011437	0.011457	0.011477	0.011497	0.011517	0.011535	0.011555	0.011574	0.011592	0.011609999999999999	0.011628999999999999	0.011649	0.011666	0.011682999999999999	0.011701999999999999	0.01172	0.011737	0.011753999999999999	0.011771	0.011788999999999999	0.011805999999999999	0.011821	0.011838999999999999	0.011855	0.011871	0.011888	0.011902999999999999	0.011918999999999999	0.011935	0.011951	0.011966	0.011980999999999999	0.011996999999999999	0.012012	0.012027999999999999	0.012041999999999999	0.012055999999999999	0.012069999999999999	0.012085	0.0121	0.012114999999999999	0.012129	0.012142	0.012156	0.01217	0.012183	0.012196	0.012211	0.012223999999999999	0.012237	0.012249999999999999	0.012263999999999999	0.012277	0.012289	0.012303	0.012315	0.012327	0.01234	0.012353	0.012364	0.012376	0.01239	0.012400999999999999	0.012412999999999999	0.012424	0.012437	0.012449	0.012459999999999999	0.012471	0.012483999999999999	0.012495	0.012506	0.012518	0.012528	0.012539	0.012549999999999999	0.012562	0.012572	0.012582999999999999	0.012593	0.012605	0.012615	0.012624999999999999	0.012636	0.012646	0.012655999999999999
