D24_X	0.0	0.001	0.002	0.003	0.004	0.005	0.006	0.006999999999999999	0.008	0.009	0.01	0.011	0.012	0.013	0.013999999999999999	0.015	0.016	0.016999999999999998	0.018	0.019	0.02	0.020999999999999998	0.022	0.023	0.024	0.024999999999999998	0.026	0.027	0.027999999999999997	0.028999999999999998	0.03	0.031	0.032	0.033	0.033999999999999996	0.034999999999999996	0.036	0.037	0.038	0.039	0.04	0.040999999999999995	0.041999999999999996	0.043	0.044	0.045	0.046	0.047	0.048	0.048999999999999995	0.049999999999999996	0.051	0.052	0.053	0.054	0.055	0.055999999999999994	0.056999999999999995	0.057999999999999996	0.059	0.06	0.061	0.062	0.063	0.064	0.065	0.066	0.06699999999999999	0.06799999999999999	0.06899999999999999	0.06999999999999999	0.071	0.072	0.073	0.074	0.075	0.076	0.077	0.078	0.079	0.08	0.081	0.08199999999999999	0.08299999999999999	0.08399999999999999	0.08499999999999999	0.086	0.087	0.088	0.089	0.09	0.091	0.092	0.093	0.094	0.095	0.096	0.09699999999999999	0.09799999999999999	0.09899999999999999	0.09999999999999999	0.10099999999999999	0.102	0.103	0.104	0.105	0.106	0.107	0.108	0.109	0.11	0.111	0.11199999999999999	0.11299999999999999	0.11399999999999999	0.11499999999999999	0.11599999999999999	0.11699999999999999	0.118	0.119	0.12	0.121	0.122	0.123	0.124	0.125	0.126	0.127	0.128	0.129	0.13	0.131	0.132	0.133	0.13399999999999998	0.13499999999999998	0.13599999999999998	0.13699999999999998	0.13799999999999998	0.13899999999999998	0.13999999999999999	0.141	0.142	0.143	0.144	0.145	0.146	0.147	0.148	0.149	0.15	0.151	0.152	0.153	0.154	0.155	0.156	0.157	0.158	0.159	0.16	0.161	0.162	0.163	0.16399999999999998	0.16499999999999998	0.16599999999999998	0.16699999999999998	0.16799999999999998	0.16899999999999998	0.16999999999999998	0.17099999999999999	0.172	0.173	0.174	0.175	0.176	0.177	0.178	0.179	0.18	0.181	0.182	0.183	0.184	0.185	0.186	0.187	0.188	0.189	0.19	0.191	0.192	0.193	0.19399999999999998	0.19499999999999998	0.19599999999999998	0.19699999999999998	0.19799999999999998	0.19899999999999998	0.19999999999999998	0.20099999999999998	0.20199999999999999	0.20299999999999999	0.204	0.205	0.206	0.207	0.208	0.209	0.21	0.211	0.212	0.213	0.214	0.215	0.216	0.217	0.218	0.219	0.22	0.221	0.222	0.223	0.22399999999999998	0.22499999999999998	0.22599999999999998	0.22699999999999998	0.22799999999999998	0.22899999999999998	0.22999999999999998	0.23099999999999998	0.23199999999999998	0.23299999999999998	0.23399999999999999	0.235	0.236	0.237	0.238	0.239	0.24	0.241	0.242	0.243	0.244	0.245	0.246	0.247	0.248	0.249	0.25	0.251	0.252	0.253	0.254	0.255	0.256	0.257	0.258	0.259	0.26	0.261	0.262	0.263	0.264	0.265	0.266	0.267	0.26799999999999996	0.26899999999999996	0.26999999999999996	0.27099999999999996	0.27199999999999996	0.27299999999999996	0.27399999999999997	0.27499999999999997	0.27599999999999997	0.27699999999999997	0.27799999999999997	0.27899999999999997	0.27999999999999997	0.28099999999999997	0.282	0.283	0.284	0.285	0.286	0.287	0.288	0.289	0.29	0.291	0.292	0.293	0.294	0.295	0.296	0.297	0.298	0.299	0.3	0.301	0.302	0.303	0.304	0.305	0.306	0.307	0.308	0.309	0.31	0.311	0.312	0.313	0.314	0.315	0.316	0.317	0.318	0.319	0.32	0.321	0.322	0.323	0.324	0.325	0.326	0.327	0.32799999999999996	0.32899999999999996	0.32999999999999996	0.33099999999999996	0.33199999999999996	0.33299999999999996	0.33399999999999996	0.33499999999999996	0.33599999999999997	0.33699999999999997	0.33799999999999997	0.33899999999999997	0.33999999999999997	0.34099999999999997	0.34199999999999997	0.34299999999999997	0.344	0.345	0.346	0.347	0.348	0.349	0.35	0.351	0.352	0.353	0.354	0.355	0.356	0.357	0.358	0.359	0.36	0.361	0.362	0.363	0.364	0.365	0.366	0.367	0.368	0.369	0.37	0.371	0.372	0.373	0.374	0.375	0.376	0.377	0.378	0.379	0.38	0.381	0.382	0.383	0.384	0.385	0.386	0.38699999999999996	0.38799999999999996	0.38899999999999996	0.38999999999999996	0.39099999999999996	0.39199999999999996	0.39299999999999996	0.39399999999999996	0.39499999999999996	0.39599999999999996	0.39699999999999996
D24_Y	0.0	0.001022	0.002	0.0029609999999999997	0.0039109999999999995	0.004849	0.005774	0.006686	0.007588999999999999	0.008476	0.009353	0.010216	0.011071	0.011909	0.012745	0.013564999999999999	0.014379999999999999	0.015177999999999999	0.015969999999999998	0.016752	0.017523	0.018286	0.019039999999999998	0.019783	0.020517999999999998	0.021245	0.021963999999999997	0.022678999999999998	0.023381	0.024071	0.024756999999999998	0.025436999999999998	0.026108	0.026774	0.027429	0.028081	0.028721	0.029359	0.029984	0.030605999999999998	0.031224	0.031832	0.032433	0.033033	0.033622	0.034207	0.034786	0.035358	0.035924	0.036485	0.037038999999999996	0.037592	0.038135999999999996	0.038674	0.039209999999999995	0.039736	0.040257	0.040778999999999996	0.041291	0.0418	0.042304	0.042804999999999996	0.043301	0.043791	0.044274	0.044754999999999996	0.04523	0.045704999999999996	0.046171	0.046636	0.047095	0.047549999999999995	0.048000999999999995	0.048452999999999996	0.048893	0.049331	0.049769	0.050199999999999995	0.050629	0.051057	0.051474	0.051892	0.052306	0.052718	0.053124	0.053528	0.053923	0.054324	0.054716	0.055104	0.05549	0.055876999999999996	0.056258999999999997	0.056632999999999996	0.05701	0.057380999999999995	0.057747	0.058115	0.058477999999999995	0.058839999999999996	0.059194	0.05955	0.059900999999999996	0.060249	0.060594999999999996	0.060938	0.061276	0.061616	0.061952	0.062285999999999994	0.062615	0.062946	0.063271	0.063592	0.063912	0.06423	0.06454599999999999	0.06486	0.06517099999999999	0.06548	0.065786	0.06609	0.066393	0.066694	0.06698899999999999	0.067284	0.067579	0.067871	0.068162	0.068447	0.068734	0.069016	0.069299	0.069577	0.069856	0.070131	0.070403	0.070675	0.070946	0.071212	0.071477	0.071743	0.072005	0.072268	0.07252499999999999	0.072784	0.07303899999999999	0.073293	0.073544	0.073793	0.074043	0.074289	0.07453499999999999	0.074779	0.07502299999999999	0.075264	0.075503	0.075739	0.07597799999999999	0.07621	0.076443	0.076675	0.076906	0.077135	0.077363	0.07758799999999999	0.077813	0.07803199999999999	0.078257	0.078474	0.078696	0.078912	0.07912899999999999	0.079345	0.07955899999999999	0.07977	0.07998	0.080191	0.080398	0.080606	0.080812	0.08101499999999999	0.081219	0.081422	0.081621	0.08182099999999999	0.082022	0.08222	0.082414	0.08261	0.082803	0.082997	0.083187	0.083379	0.08356999999999999	0.083758	0.08394399999999999	0.08413	0.084314	0.08449899999999999	0.084682	0.084866	0.085045	0.085225	0.08540299999999999	0.08558299999999999	0.08576	0.085935	0.086111	0.086284	0.086459	0.08663	0.08680099999999999	0.086972	0.087142	0.087309	0.087476	0.087645	0.087809	0.087974	0.088138	0.08830099999999999	0.088464	0.088624	0.088783	0.088944	0.089101	0.089261	0.089418	0.089576	0.08972999999999999	0.08988399999999999	0.09003799999999999	0.090191	0.090344	0.09049499999999999	0.09064499999999999	0.090797	0.090946	0.091095	0.09124199999999999	0.091388	0.09153499999999999	0.091679	0.09182399999999999	0.091968	0.092111	0.092254	0.09239499999999999	0.092537	0.092679	0.092818	0.092956	0.093094	0.093232	0.093371	0.09350699999999999	0.09364199999999999	0.093777	0.093912	0.09404499999999999	0.094178	0.09431099999999999	0.094441	0.09457399999999999	0.094704	0.094835	0.09496399999999999	0.095093	0.095219	0.095347	0.09547399999999999	0.09559999999999999	0.09572599999999999	0.09585099999999999	0.09597699999999999	0.09610099999999999	0.09622499999999999	0.096347	0.09647	0.096592	0.09671199999999999	0.09683399999999999	0.096954	0.097074	0.097193	0.097311	0.097429	0.097546	0.097663	0.09777899999999999	0.097895	0.098012	0.09812599999999999	0.098241	0.098355	0.098468	0.098579	0.098692	0.09880499999999999	0.09891599999999999	0.09902599999999999	0.09913699999999999	0.099247	0.099357	0.099467	0.099575	0.099683	0.09979099999999999	0.099897	0.100005	0.10011099999999999	0.100218	0.100322	0.10042899999999999	0.100532	0.10063599999999999	0.10074	0.10084399999999999	0.100947	0.101048	0.10114999999999999	0.101252	0.101355	0.10145499999999999	0.10155399999999999	0.101655	0.101755	0.101853	0.101952	0.10205099999999999	0.10214899999999999	0.10224599999999999	0.10234499999999999	0.10244099999999999	0.10253699999999999	0.10263399999999999	0.102728	0.102825	0.10292	0.103014	0.10310899999999999	0.103202	0.103295	0.103389	0.10348099999999999	0.103574	0.103666	0.10375799999999999	0.10385	0.10393999999999999	0.104031	0.10412099999999999	0.104211	0.10430099999999999	0.10439	0.10447899999999999	0.104568	0.104656	0.10474399999999999	0.104833	0.104919	0.10500699999999999	0.10509299999999999	0.10518	0.105266	0.10535299999999999	0.10543699999999999	0.10552299999999999	0.105608	0.105692	0.105776	0.10586	0.105944	0.106027	0.106111	0.106194	0.106276	0.106359	0.106441	0.10652099999999999	0.10660299999999999	0.106685	0.106765	0.106846	0.106926	0.10700599999999999	0.107086	0.107165	0.10724399999999999	0.107323	0.107401	0.10747999999999999	0.107558	0.107636	0.10771399999999999	0.107791	0.10786799999999999
