P187M2_X	0.0	0.001	0.002	0.003	0.004	0.005	0.006	0.006999999999999999	0.008	0.009	0.01	0.011	0.012	0.013	0.013999999999999999	0.015	0.016	0.016999999999999998	0.018	0.019	0.02	0.020999999999999998	0.022	0.023	0.024	0.024999999999999998	0.026	0.027	0.027999999999999997	0.028999999999999998	0.03	0.031	0.032	0.033	0.033999999999999996	0.034999999999999996	0.036	0.037	0.038	0.039	0.04	0.040999999999999995	0.041999999999999996	0.043	0.044	0.045	0.046	0.047	0.048	0.048999999999999995	0.049999999999999996	0.051	0.052	0.053	0.054	0.055	0.055999999999999994	0.056999999999999995	0.057999999999999996	0.059	0.06	0.061	0.062	0.063	0.064	0.065	0.066	0.06699999999999999	0.06799999999999999	0.06899999999999999	0.06999999999999999	0.071	0.072	0.073	0.074	0.075	0.076	0.077	0.078	0.079	0.08	0.081	0.08199999999999999	0.08299999999999999	0.08399999999999999	0.08499999999999999	0.086	0.087	0.088	0.089	0.09	0.091	0.092	0.093	0.094	0.095	0.096	0.09699999999999999	0.09799999999999999	0.09899999999999999	0.09999999999999999	0.10099999999999999	0.102	0.103	0.104	0.105	0.106	0.107	0.108	0.109	0.11	0.111	0.11199999999999999	0.11299999999999999	0.11399999999999999	0.11499999999999999	0.11599999999999999	0.11699999999999999	0.118	0.119	0.12	0.121	0.122	0.123	0.124	0.125	0.126	0.127	0.128	0.129	0.13	0.131	0.132	0.133	0.13399999999999998	0.13499999999999998	0.13599999999999998	0.13699999999999998	0.13799999999999998	0.13899999999999998	0.13999999999999999	0.141
P187M2_Y	0.0	0.001003	0.001923	0.0027949999999999997	0.0036249999999999998	0.004425999999999999	0.0051909999999999994	0.005924	0.006634999999999999	0.0073219999999999995	0.007982999999999999	0.008629	0.009248	0.00985	0.010437	0.011009	0.011566	0.012105	0.012634	0.013146	0.013653	0.014143	0.014622	0.015090999999999999	0.015552	0.016000999999999998	0.01644	0.016871999999999998	0.017294999999999998	0.017707999999999998	0.018116	0.018517	0.018909	0.019292	0.019672	0.020043	0.020408	0.020769	0.021123	0.021467999999999998	0.02181	0.022147999999999998	0.02248	0.022805	0.023125	0.023445	0.023756	0.024062	0.024364999999999998	0.024665	0.024959	0.025249999999999998	0.025536	0.025817999999999997	0.026097	0.026372999999999997	0.026646	0.026912	0.027176	0.027438999999999998	0.027697	0.027951999999999998	0.028204999999999997	0.028451999999999998	0.028697999999999998	0.028940999999999998	0.029182999999999997	0.029418	0.029653	0.029885	0.030112999999999997	0.030341	0.030565	0.030785999999999997	0.031007	0.031222999999999997	0.031436	0.03165	0.03186	0.032067	0.032275	0.032476	0.032677	0.032876999999999997	0.033076	0.033271	0.033465	0.033655	0.033846	0.034034	0.03422	0.034405	0.034585	0.034767	0.034948	0.035123999999999996	0.0353	0.035475	0.035647	0.03582	0.035988	0.036157	0.036323	0.036488	0.036652	0.036814	0.036975	0.037135	0.037292	0.037447999999999995	0.037605	0.037759	0.037912	0.038065	0.038214	0.038363	0.038509999999999996	0.038658	0.038804	0.038947999999999997	0.039091	0.039234	0.039374	0.039515999999999996	0.039653999999999995	0.039792	0.039928	0.040063	0.040198	0.040332	0.040465	0.040597	0.040728	0.040855999999999996	0.040986	0.041113	0.041241	0.041367	0.041491	0.041616	0.04174	0.041860999999999995
