P387aM3_X	0.0	0.001	0.002	0.003	0.004	0.005	0.006	0.006999999999999999	0.008	0.009	0.01	0.011	0.012	0.013	0.013999999999999999	0.015	0.016	0.016999999999999998	0.018	0.019	0.02	0.020999999999999998	0.022	0.023	0.024	0.024999999999999998	0.026	0.027	0.027999999999999997	0.028999999999999998	0.03	0.031	0.032	0.033	0.033999999999999996	0.034999999999999996	0.036	0.037	0.038	0.039	0.04	0.040999999999999995	0.041999999999999996	0.043	0.044	0.045	0.046	0.047	0.048	0.048999999999999995	0.049999999999999996	0.051	0.052	0.053	0.054	0.055	0.055999999999999994	0.056999999999999995	0.057999999999999996	0.059	0.06	0.061	0.062	0.063	0.064	0.065	0.066	0.06699999999999999	0.06799999999999999	0.06899999999999999	0.06999999999999999	0.071	0.072	0.073	0.074	0.075	0.076	0.077	0.078	0.079	0.08	0.081	0.08199999999999999	0.08299999999999999	0.08399999999999999	0.08499999999999999	0.086	0.087	0.088	0.089	0.09	0.091	0.092	0.093	0.094	0.095	0.096	0.09699999999999999	0.09799999999999999	0.09899999999999999	0.09999999999999999	0.10099999999999999	0.102	0.103	0.104	0.105	0.106	0.107	0.108	0.109	0.11	0.111	0.11199999999999999	0.11299999999999999	0.11399999999999999	0.11499999999999999	0.11599999999999999	0.11699999999999999	0.118	0.119	0.12	0.121	0.122	0.123	0.124	0.125	0.126	0.127	0.128	0.129	0.13	0.131	0.132	0.133	0.13399999999999998	0.13499999999999998	0.13599999999999998	0.13699999999999998	0.13799999999999998	0.13899999999999998	0.13999999999999999	0.141	0.142	0.143	0.144	0.145	0.146	0.147	0.148	0.149	0.15	0.151	0.152	0.153	0.154	0.155	0.156	0.157	0.158	0.159	0.16	0.161	0.162	0.163	0.16399999999999998	0.16499999999999998	0.16599999999999998	0.16699999999999998	0.16799999999999998	0.16899999999999998	0.16999999999999998	0.17099999999999999	0.172	0.173	0.174	0.175	0.176	0.177	0.178	0.179	0.18	0.181	0.182	0.183	0.184	0.185	0.186	0.187	0.188	0.189	0.19	0.191	0.192	0.193	0.19399999999999998	0.19499999999999998	0.19599999999999998	0.19699999999999998	0.19799999999999998	0.19899999999999998	0.19999999999999998	0.20099999999999998	0.20199999999999999	0.20299999999999999	0.204	0.205	0.206	0.207	0.208	0.209	0.21	0.211	0.212	0.213	0.214	0.215	0.216	0.217	0.218	0.219	0.22	0.221	0.222	0.223	0.22399999999999998	0.22499999999999998	0.22599999999999998	0.22699999999999998	0.22799999999999998	0.22899999999999998	0.22999999999999998	0.23099999999999998	0.23199999999999998	0.23299999999999998	0.23399999999999999	0.235	0.236	0.237	0.238	0.239	0.24	0.241	0.242	0.243	0.244	0.245	0.246	0.247	0.248	0.249	0.25	0.251	0.252	0.253	0.254	0.255	0.256	0.257	0.258	0.259	0.26	0.261	0.262	0.263	0.264	0.265	0.266	0.267	0.26799999999999996	0.26899999999999996	0.26999999999999996	0.27099999999999996	0.27199999999999996	0.27299999999999996	0.27399999999999997	0.27499999999999997	0.27599999999999997	0.27699999999999997	0.27799999999999997	0.27899999999999997	0.27999999999999997	0.28099999999999997	0.282	0.283	0.284	0.285	0.286	0.287	0.288	0.289	0.29	0.291	0.292	0.293	0.294	0.295	0.296	0.297	0.298	0.299	0.3	0.301	0.302	0.303	0.304	0.305	0.306	0.307	0.308	0.309	0.31	0.311	0.312	0.313	0.314	0.315	0.316	0.317	0.318	0.319	0.32	0.321	0.322	0.323	0.324	0.325	0.326	0.327
P387aM3_Y	0.0	0.001042	0.0019459999999999998	0.002784	0.0035889999999999997	0.00435	0.005072999999999999	0.005765	0.0064329999999999995	0.007075	0.0076939999999999995	0.008294	0.008871	0.009432	0.009977	0.010506999999999999	0.01102	0.011519999999999999	0.012010999999999999	0.012483	0.012946	0.013403	0.013843	0.014275999999999999	0.014702999999999999	0.015116999999999998	0.015521	0.015920999999999998	0.016312999999999998	0.016694	0.01707	0.01744	0.017797	0.018158	0.01851	0.018854	0.019192	0.019527	0.019856	0.020177	0.020495	0.020808999999999998	0.021115	0.021422999999999998	0.02172	0.022015	0.02231	0.022593	0.022882	0.023159	0.023436	0.023714	0.023977	0.024242999999999997	0.024506	0.024766999999999997	0.025026	0.02528	0.025528	0.025779	0.026022	0.026268	0.026504999999999997	0.026740999999999997	0.026978	0.027208	0.027437	0.027666999999999997	0.027887	0.028111999999999998	0.028332	0.028554	0.028763999999999998	0.02898	0.029190999999999998	0.029397	0.029608	0.029810999999999997	0.030015	0.030213999999999998	0.030417999999999997	0.030615	0.030809	0.031002	0.031198	0.031388	0.031576	0.031765999999999996	0.03195	0.032136	0.03232	0.032497	0.032678	0.032853	0.033031	0.033206	0.033382999999999996	0.033553	0.033725	0.033895	0.034062999999999996	0.03423	0.034395999999999996	0.03456	0.034724	0.034886	0.035045	0.035205	0.035364	0.035522	0.035678	0.035831999999999996	0.035984999999999996	0.036137999999999997	0.036291	0.03644	0.03659	0.036736	0.036885	0.037031999999999995	0.037176	0.037319	0.037464	0.037604	0.037746999999999996	0.037887	0.038027	0.038165	0.038301999999999996	0.038439999999999995	0.038575	0.038709	0.038844	0.038978	0.03911	0.03924	0.039369999999999995	0.039504	0.039631	0.039757999999999995	0.039885	0.040011	0.040138	0.040264	0.040388	0.040511	0.040632	0.040755	0.040877	0.040999	0.041117999999999995	0.041236999999999996	0.041357	0.041474	0.041589999999999995	0.041705	0.041821	0.041939	0.042051	0.042164	0.042279	0.042391	0.042504	0.042614	0.042726	0.042836	0.042945	0.043053999999999995	0.043161	0.043269999999999996	0.043377	0.043482	0.043588999999999996	0.043692999999999996	0.043799	0.043904	0.044008	0.044112	0.044212999999999995	0.044315	0.044417	0.044517999999999995	0.04462	0.044718	0.044818	0.044918	0.045016	0.045113	0.045211	0.045308	0.045405999999999995	0.0455	0.045597	0.045689999999999995	0.045786	0.045881	0.045974999999999995	0.046069	0.046161	0.046252999999999996	0.046346	0.046437	0.046529999999999995	0.046619	0.046708	0.046799	0.046887	0.046978	0.047066	0.047153	0.047241	0.047327999999999995	0.047413	0.047501999999999996	0.04759	0.047674	0.047758999999999996	0.047844	0.047929	0.048012	0.048097	0.04818	0.048263	0.048345	0.048429	0.048511	0.048593	0.048673	0.048754	0.048834999999999996	0.048915	0.048992999999999995	0.049074	0.049153999999999996	0.049231	0.049311999999999995	0.049389999999999996	0.049465999999999996	0.049544	0.049622	0.049699	0.049775	0.049851	0.049928	0.050003	0.050079	0.050152999999999996	0.050227	0.050303	0.050374999999999996	0.050449999999999995	0.050524	0.050595999999999995	0.05067	0.050741999999999995	0.050814	0.050885	0.050956999999999995	0.051028	0.051099	0.051170999999999994	0.051241999999999996	0.051310999999999996	0.051382	0.051451	0.051519999999999996	0.05159	0.051659	0.051727999999999996	0.051795999999999995	0.051864	0.051932	0.051999	0.052065999999999994	0.052134	0.052199999999999996	0.052267999999999995	0.052333	0.052398999999999994	0.052465	0.052530999999999994	0.052597	0.052661	0.052726999999999996	0.052791	0.052855	0.052919999999999995	0.052982999999999995	0.053047	0.053111	0.053174	0.053236	0.053299	0.053362	0.053424	0.053486	0.053548	0.053609	0.053670999999999996	0.053731999999999995	0.053792	0.053853	0.053914	0.053974999999999995	0.054034	0.054093999999999996	0.054154	0.054213	0.054272999999999995	0.054331	0.05439	0.054449	0.054507	0.054565999999999996	0.054624	0.054681	0.054738999999999996	0.054796	0.054853	0.05491	0.054966999999999995	0.055023999999999997	0.05508	0.055136	0.055193	0.055248	0.055304	0.055359
