# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun May 30 14:19:54 AEST 2021 [seed=1622348392681]
# -overwrite -save_every 10000 -save_state 2.MEDUCLN_dates_noHyperPrior.xml.state 2.MEDUCLN_dates_noHyperPrior.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-3.4100182016408354E7	-1556.9553740865672	-3.409862506103427E7	106.96836087227473	106.96836087227473	185.52926265612638	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.3333333333333333	0.9879954043691849	0.32021039429851106	0.10315479096396415	-3.409862506103427E7	-1250.758241052335	-114.13322104882646
100000	-5929584.422323238	-1738.5704994181342	-5927845.85182382	145.31353886538224	145.31353886538224	797.6156904875471	20.3108178261831	1.001497415330459	1.3330210055510956	0.7663809494305355	0.6659846246677992	1.4206635861072434	0.8124524189128688	0.019058554248493224	0.0028139644896697244	3.21552243027645	1.0471620629111533E-6	4.657735265099553	0.0434848453119156	-5927845.85182382	-1250.758241052335	-473.0831682303101
200000	-5927828.766720133	-1796.9584358249613	-5926031.808284308	224.97576924699501	224.97576924699501	1147.588110803766	31.682569550789445	0.9473669182326033	1.4304415566906796	0.7478388717376261	0.46440168128421255	1.5493100844634737	0.8606408875914049	0.010266811011702504	0.0028010795555916796	4.276414796073098	7.035513610205829E-7	4.9616181822120655	0.04446203084785311	-5926031.808284308	-1250.758241052335	-526.3830026249962
300000	-5927006.488009541	-1811.2878057303874	-5925195.200203811	166.15209935755684	166.15209935755684	1092.3496295267987	36.60762544886282	0.8909499529646128	1.390419891658512	0.7879037547835148	0.4387334374824315	1.6386354332096102	0.8533575299013215	0.024331697601599707	0.002657910278769028	3.5765423970730716	7.075334119616704E-7	5.157709361156596	0.03498493378950173	-5925195.200203811	-1250.758241052335	-542.6040392757716
400000	-5924898.727082389	-1830.1976350450204	-5923068.529447344	159.0815943363002	159.0815943363002	1157.6573105310033	51.20935632688771	0.8482514167069825	1.464773593984113	0.7924339700168614	0.4853972817985524	1.5240841236537068	0.8850596138397876	0.023430491740902833	0.0023084198128624916	2.6713004917685397	6.499190003038159E-7	5.621509250249906	0.02946557246955302	-5923068.529447344	-1250.758241052335	-563.1017540570954
500000	-5924025.703853724	-1832.2816207749902	-5922193.422232948	142.52288816402063	142.52288816402063	1130.2476832691575	46.46620536024574	0.8380122917297038	1.468717458577073	0.8200391520515607	0.519099238414622	1.5150798499242797	0.8390520093027656	0.038228494533091226	0.0017658812219735584	1.9639908992658424	6.127982710928697E-7	6.141361762041861	-0.006966111012566175	-5922193.422232948	-1250.758241052335	-568.5508394573912
600000	-5923949.323602294	-1823.6800626137313	-5922125.64353968	147.1268098412373	147.1268098412373	1159.6345831131957	43.80709876842957	0.8834679365456366	1.3805631210086373	0.8367603738488063	0.5042643930039041	1.5160457821302855	0.8788983934627354	0.0040922815887453525	0.0016052384255503182	1.6640469806171958	6.041966501721964E-7	6.081372425696701	-0.009307932659524612	-5922125.64353968	-1250.758241052335	-561.3782121487491
700000	-5923169.026046388	-1829.5720274459995	-5921339.454018942	157.28234356248424	157.28234356248424	1238.8045742850782	48.481292780634064	0.9111528607968367	1.5190673376102761	0.752976566397357	0.4689111630210419	1.4964756311771117	0.8514164409973838	0.03945556603620612	0.0014688044112938677	1.6005891766657183	5.773988784451385E-7	6.050967566176387	-0.010067623954275127	-5921339.454018942	-1250.758241052335	-567.0417655286119
800000	-5922976.627233028	-1834.9594831134777	-5921141.667749915	170.10459155455808	170.10459155455808	1279.119059937969	44.58003600908888	0.8304206244587299	1.5290720553691568	0.7855500954142322	0.4317492141051288	1.5447735449200903	0.8784344657326697	0.007846550358645371	0.0013585703646422774	1.4975750609946248	5.618563487375241E-7	5.804396622607651	-0.015607474207088141	-5921141.667749915	-1250.758241052335	-573.3284158997614
900000	-5922970.241309668	-1837.558003039996	-5921132.683306628	150.75076915930723	150.75076915930723	1250.3915981192638	56.86852274919732	0.9118149659563495	1.4066186676797463	0.8150794842821159	0.4975964240784962	1.4761426239529876	0.892747834050314	0.008699805227423548	0.001085506055511676	1.0966318623481104	5.527901380202405E-7	5.918006580268817	-0.009828769452430794	-5921132.683306628	-1250.758241052335	-576.3805117494791
1000000	-5922912.175523386	-1852.587644942624	-5921059.587878443	134.46470997811738	134.46470997811738	1259.8158600746617	65.43443892224089	0.9332854848287729	1.4337816951948141	0.8388295730741298	0.4182161978277252	1.4723042835556632	0.9035827655189005	0.03728291031507331	0.0010766387238203086	1.2072723757261705	5.598065740872494E-7	5.597890077240144	-0.020052598921314436	-5921059.587878443	-1250.758241052335	-590.1732709864144
1100000	-5922276.868900095	-1871.7691788245434	-5920405.099721271	116.02562454583324	116.02562454583324	1327.0902089748565	74.58035274997867	0.9418015297674837	1.4670381690689722	0.8763260854488149	0.45560162816495536	1.3799919099238405	0.8792406776259395	0.0409822302423313	0.0010439612314767006	1.2019646944858688	5.108439511021239E-7	6.546512463137205	-0.00914343880544931	-5920405.099721271	-1250.758241052335	-608.4610960534936
1200000	-5922237.176138648	-1868.1599383222692	-5920369.016200325	114.92920568981901	114.92920568981901	1285.6795004997114	78.03222999553441	0.9338287470976036	1.4843044501187854	0.852128083164949	0.5256163076464166	1.3737809882549588	0.8303414237172916	0.00961229068667018	8.568714923353088E-4	0.7424809290284462	5.321089618651968E-7	5.943710829189064	0.013156026471242714	-5920369.016200325	-1250.758241052335	-606.3145217769679
1300000	-5922258.0068044625	-1882.2302950439775	-5920375.776509418	127.8450532851007	127.8450532851007	1429.0080656221407	70.94596394927773	0.7999315167127086	1.5318360770239319	0.8495015663654205	0.5101674657616833	1.4460424667954073	0.8625209073408548	0.04819743204680763	7.620390885554513E-4	0.727688956618977	4.5900624097517257E-7	6.037825423113706	0.01607224555693398	-5920375.776509418	-1250.758241052335	-621.1849044839488
1400000	-5921736.905590122	-1885.9368219235885	-5919850.968768198	162.835951045944	162.835951045944	1486.909379025089	75.62754920599286	0.8772100879791407	1.4281226092298858	0.828590153215597	0.5488406338179362	1.3792509946862694	0.9379855210711784	0.03866366390346484	8.751378800836905E-4	0.8451483936854771	4.6486014669657824E-7	5.635331062985503	0.02623463709874688	-5919850.968768198	-1250.758241052335	-623.8283391354062
1500000	-5921675.310919321	-1887.2590352517816	-5919788.051884069	144.0774916749419	144.0774916749419	1494.5716598577485	82.69406312089362	0.8474362708081676	1.4811744407252048	0.8651108235634561	0.49459935922010534	1.4831227591671876	0.8285563465158884	0.025156821809732867	7.388976200336558E-4	0.6127196043887393	4.4932797399579906E-7	5.967044606265852	0.026675538831587912	-5919788.051884069	-1250.758241052335	-625.4522974063462
1600000	-5921711.191822135	-1910.0404920322312	-5919801.151330102	203.83045677294763	203.83045677294763	1815.5622341572334	82.8256106057116	0.8439609479863522	1.5804191240112748	0.8844773273602218	0.46983220460780667	1.3831778013447502	0.8381325946896033	0.036150627108323515	7.146039750985958E-4	0.6125104585962542	3.7272299040343656E-7	6.132782087019722	-0.022420288124313115	-5919801.151330102	-1250.758241052335	-648.1201599202432
